t/tau_0 k_BT_k/epsilon

0.1 1.0195352666236919
0.2 1.0336849934322163
0.3 1.0353819035343832
0.4 1.0395184977004823
0.5 1.0284576850478655
0.6 1.016589059584137
0.7 1.016473900256802
0.8 1.011102139251879
0.9 1.0147612587833592
1.0 1.0192383036643713
1.1 1.0178963938997536
1.2 1.0289075226865934
1.3 1.018072076543363
1.4 1.0179080557843059
1.5 1.0196943122405269
1.6 1.0148473997280918
1.7 1.0177712466957956
1.8 1.029521709887573
1.9 1.0378463294723572
2.0 1.0376118578108202
2.1 1.0403383095539769
2.2 1.0462573262242354
2.3 1.0591900849188416
2.4 1.0593897509884056
2.5 1.0584426030038705
2.6 1.0746787003738296
2.7 1.0748177913914014
2.8 1.0711587640953646
2.9 1.064380725961476
3.0 1.0608898848013602
3.1 1.0691421718715168
3.2 1.047851249561615
3.3 1.0493001723909372
3.4 1.0461716029742125
3.5 1.04750270339099
3.6 1.0493331683820517
3.7 1.0365735365147424
3.8 1.0279558288479265
3.9 1.040998492362219
4.0 1.0312133487764692
4.100000000000001 1.0303999317810904
4.2 1.031691852605756
4.3 1.0225085622675452
4.4 1.0236826162105541
4.5 1.0260813454903837
4.600000000000001 1.0412315469056737
4.7 1.0355412220454432
4.800000000000001 1.037535544644932
4.9 1.047905644309512
5.0 1.0370065535309796
5.100000000000001 1.0562799893440142
5.2 1.0540645497578265
5.300000000000001 1.0479668141127425
5.4 1.0438906412453792
5.5 1.0486076196176153
5.600000000000001 1.0525909554684652
5.7 1.0431560330045122
5.800000000000001 1.0473037570095491
5.9 1.044251607068306
6.0 1.0449166917466637
6.100000000000001 1.053732075492364
6.2 1.0435110934528857
6.300000000000001 1.0465117069973202
6.4 1.0373943163250456
6.5 1.040213754023776
6.600000000000001 1.0348885113762347
6.7 1.0186406692303285
6.800000000000001 1.0207659291137916
6.9 1.0095890871152393
7.0 1.0107159054369053
7.100000000000001 1.0058011519582943
7.2 0.9888873685812625
7.300000000000001 0.9979745410895797
7.4 0.9908217376091233
7.5 0.9953543584212013
7.600000000000001 1.0265574873828063
7.7 1.0224514872088504
7.800000000000001 1.0206540627461507
7.9 1.0213031905222199
8.0 1.0135641699178652
8.1 1.0005850038853945
8.200000000000001 0.983016107693739
8.3 0.9983007103766033
8.4 0.9972035955138738
8.5 1.0088402866160269
8.6 1.0083967594457968
8.700000000000001 1.0185958463270683
8.8 1.0145140198882467
8.9 1.0332040446544086
9.0 1.0179508380516293
9.1 1.0333653452082208
9.200000000000001 1.0518008073718073
9.3 1.0607930568709927
9.4 1.0574577639749843
9.5 1.0574352207872453
9.600000000000001 1.0593959903707675
9.700000000000001 1.055879046480448
9.8 1.0615506306531286
9.9 1.0730874569662325
10.0 1.0621238041871572
11.0 1.0383613432125616
12.0 1.0115108660837904
13.0 1.0138917772424654
14.0 1.0225386982976201
15.0 1.0405334219807354
16.0 1.0511204314252893
17.0 1.0373633637875295
18.0 1.0359665664006983
19.0 1.0303374007226345
20.0 1.016558757814909
21.0 0.994038594438436
22.0 1.0113056288651472
23.0 0.9652393260868225
24.0 0.9255889799638822
25.0 0.94510247876843
26.0 0.983487737194741
27.0 1.0055976900941843
28.0 1.0097266023818432
29.0 0.9879746311599314
30.0 0.9865041474553763
31.0 0.9703583939000462
32.0 0.9529701448799525
33.0 0.9522363631507387
34.0 0.9463005348078388
35.0 0.9209466786545837
36.0 0.9029797570888478
37.0 0.9398682215513224
38.0 0.9036245575197459
39.0 0.869885588747073
40.0 0.8838555653814211
41.0 0.9021554423349333
42.0 0.9037292549352551
43.0 0.9379351681895549
44.0 0.9545724715068877
45.0 0.9876001922803026
46.0 0.9686210313643764
47.0 0.9485707075602952
48.0 0.9428680040365156
49.0 0.9464016521423415
50.0 0.9292949403200741
51.0 0.8952727069220053
52.0 0.8695899076030198
53.0 0.8491494084777506
54.0 0.8367662762696675
55.0 0.8720904786382849
56.0 0.8496455499398323
57.0 0.8516081455995872
58.0 0.8668456082360168
59.0 0.8543298907412055
60.0 0.8260757335263698
61.0 0.8230327744398217
62.0 0.8165196288189775
63.0 0.8172567498837513
64.0 0.8513747425791263
65.0 0.8414093650211919
66.0 0.8603510755752074
67.0 0.8423311082525491
68.0 0.8297491541844264
69.0 0.8179178630589927
70.0 0.8332851451077046
71.0 0.8463455890656466
72.0 0.8148563857730353
73.0 0.7781344606953238
74.0 0.7888874967341664
75.0 0.7380795262369748
76.0 0.7087106669288394
77.0 0.6950413784698279
78.0 0.6903629565891067
79.0 0.6723321067353856
80.0 0.6780921728082214
81.0 0.6758897118637704
82.0 0.5867174077769688
83.0 0.588108803099505
84.0 0.5274403104953712
85.0 0.4297655480260416
86.0 0.38128466625155
87.0 0.320851966653552
88.0 0.2576299783655302
89.0 0.1980244159146012
90.0 0.128443820708428
91.0 0.08212251031157661
92.0 0.0393297309436024
93.0 0.0209606054653224
94.0 0.0065062326982548
95.0 0.001195325272287
96.0 0.0001617696842848
97.0 2.18931460418e-05
98.0 2.9629151206e-06
99.0 4.0098695699999997e-07
100.0 5.42676834e-08
101.0 7.3443324e-09
102.0 9.939472e-10
