Eb/epsilon kBTk/epsilon

0.0 0.5953833627753345
0.019 0.5762795189551632
0.038 0.5541197737242324
0.057 0.5315112181826249
0.076 0.5044214076198597
0.095 0.4731848824084028
0.114 0.4344126077141449
0.133 0.38487027315631284
0.152 0.30990140695157103
0.153 0.3020790573525886
0.154 0.2952289306240713
0.155 0.2862159234674423
0.156 0.28024397714697646
0.157 0.2724978358992504
0.158 0.26472497565933373
0.159 0.25744477923961473
0.16 0.24650018017377037
0.161 0.24025022084551634
0.162 0.22391402996707488
0.163 0.21240681444495627
0.164 0.19033653028322353
0.165 0.178169033806441
0.166 0.1482139729005975
0.167 0.02607235664377986
0.167 0.1161888017011641
0.168 0

