Eb/epsilon kBTk/epsilon

0.0 0.43277424273962906
0.008 0.42269071537340114
0.016 0.41148724243116847
0.024 0.4003758087421089
0.032 0.38735743368362574
0.04 0.37314590812677245
0.048 0.35749722523067395
0.056 0.3419828043329125
0.064 0.32196696136588254
0.072 0.29990319345480493
0.075 0.29107254840401636
0.08 0.27314426192119473
0.085 0.25324103322655384
0.09 0.23083404679145772
0.095 0.20197702166641887
0.1 0.16258664921530816
0.105 0.10213316895943728
0.106 0.07669382883733145
0.107 0.07411264261680761
0.108 0

